id,filter_num1,kernel_size1,filter_num2,kernel_size2,hidden_layer1,hidden_layer2,learning_rate,batch_size,train_accuracy,validation_accuracy
402,8,5,24,3,100,40,0.01,256,84.86969757,81.27746582
404,8,5,24,5,80,50,0.001,32,95.63617706,85.39601898
406,4,5,32,3,100,60,0.03,128,20.83801842,20.29637337
409,12,5,32,5,100,50,0.03,256,20.83801842,20.29637337
40,4,5,24,5,120,60,0.01,128,66.11139679,64.99744415
413,4,3,24,5,100,40,0.001,64,93.14767456,85.52886963
416,8,3,24,3,120,40,0.01,64,60.12774658,58.9575882
419,4,5,24,3,100,50,0.03,256,20.83801842,20.29637337
41,8,5,24,3,120,60,0.003,32,88.18600464,82.63668823
422,12,3,32,3,80,40,0.003,32,88.97292328,84.48645782
423,12,3,48,3,100,50,0.003,32,86.96474457,83.2498703
424,12,5,24,3,100,60,0.01,256,20.83801842,20.29637337
426,8,3,32,3,100,40,0.01,64,59.91824341,60.1226387
428,12,5,24,3,80,40,0.03,64,20.83801842,20.29637337
429,8,3,48,3,120,50,0.01,256,20.83801842,20.29637337
42,8,5,32,5,80,40,0.01,128,20.83801842,20.29637337
430,12,5,48,3,120,40,0.003,256,96.62238312,85.97853851
433,8,3,24,5,100,50,0.03,32,7.531936646,7.511497498
434,4,3,24,3,80,60,0.001,256,87.05671692,84.03678894
435,12,5,32,5,80,40,0.001,128,94.6193161,85.92743683
439,12,3,32,5,100,50,0.01,32,20.83801842,20.29637337
43,4,3,48,3,100,40,0.01,128,60.96065521,60.28615189
440,12,3,32,3,80,60,0.001,64,94.55799103,86.58150482
443,8,3,24,5,100,50,0.001,64,95.46755219,87.14358521
444,4,3,24,3,100,60,0.003,128,96.0602951,85.91722107
445,12,5,32,3,100,60,0.03,32,9.443025589,9.156872749
446,12,3,48,5,80,60,0.001,256,91.69136047,86.15227509
447,4,3,48,3,100,40,0.003,256,96.17782593,86.55084229
44,4,3,48,5,80,50,0.001,256,88.97292328,84.6601944
451,8,5,32,5,120,50,0.03,256,20.83801842,20.29637337
453,8,5,48,3,100,60,0.003,64,94.61420441,84.51711273
454,4,3,32,3,100,60,0.003,32,97.33776093,85.22228241
455,8,3,24,3,100,60,0.03,128,20.83801842,20.29637337
458,8,5,32,3,100,60,0.01,64,53.29586411,52.50894547
459,8,5,32,3,100,60,0.03,64,20.83801842,20.29637337
